DICE,3960.0,3960.0,3960.0,3960.0,0.0,2020-05-21 11:50:02.230990
DICP,1285.0,1290.0,1285.0,1284.0,673834.1,2020-05-21 11:50:02.230990
DICY,7800.0,7800.0,7800.0,7749.0,96564.0,2020-05-21 11:50:02.230990
DICYD,66.5,68.3,66.5,66.5,0.0,2020-05-21 11:50:02.230990
DIP0,1190.0,1190.0,1190.0,1190.0,0.0,2020-05-21 11:50:02.230990
DIY0,7200.0,7200.0,7200.0,7200.0,0.0,2020-05-21 11:50:02.230990
DIY0D,55.5,55.5,55.5,55.5,0.0,2020-05-21 11:50:02.230990
FORM3,1050.0,1050.0,1050.0,1050.0,0.0,2020-05-21 11:50:02.230990
IRC1O,100.0,0.0,0.0,100.0,0.0,2020-05-21 11:50:02.230990
NO20,93.0,93.0,93.0,93.0,0.0,2020-05-21 11:50:02.230990
NRH2,903.5,903.5,903.5,903.5,0.0,2020-05-21 11:50:02.230990
ONCTG_6,100.0,0.0,0.0,100.0,0.0,2020-05-21 11:50:02.230990
PAA0,3335.0,3355.0,3290.0,3335.0,0.0,2020-05-21 11:50:02.230990
PAA0D,27.0,27.0,27.0,27.0,0.0,2020-05-21 11:50:02.230990
PAP0,450.0,450.0,450.0,450.0,0.0,2020-05-21 11:50:02.230990
PARA,3500.0,3500.0,3500.0,3480.0,99400.0,2020-05-21 11:50:02.230990
PARAD,30.24,30.7,30.0,30.24,0.0,2020-05-21 11:50:02.230990
PARP,520.0,520.0,515.0,520.0,0.0,2020-05-21 11:50:02.230990
PARY,4405.0,4530.0,4300.0,4405.0,0.0,2020-05-21 11:50:02.230990
PARYD,38.25,39.25,37.0,38.25,0.0,2020-05-21 11:50:02.230990
PAY0,3850.0,3850.0,3850.0,3850.0,0.0,2020-05-21 11:50:02.230990
PAY0D,33.0,33.0,33.0,33.0,0.0,2020-05-21 11:50:02.230990
PBA25,62.05,62.5,61.0,61.69,3021309.3,2020-05-21 11:50:02.230990
PBF23,3900.0,3900.0,3650.0,3900.0,0.0,2020-05-21 11:50:02.230990
PBJ21,3593.72,0.0,0.0,3593.72,0.0,2020-05-21 11:50:02.230990
PBJ27,3500.0,3500.0,3500.0,3500.0,0.0,2020-05-21 11:50:02.230990
PBM24,2464.07,0.0,0.0,2464.07,0.0,2020-05-21 11:50:02.230990
PBY22,76.5,78.0,76.5,76.0,241774.0,2020-05-21 11:50:02.230990
PF23D,32.0,32.0,32.0,32.0,0.0,2020-05-21 11:50:02.230990
PMJ21,86.0,87.0,86.0,86.0,0.0,2020-05-21 11:50:02.230990
PMY24,2488.0,2575.0,2575.0,2488.0,0.0,2020-05-21 11:50:02.230990
PR13,591.0,591.0,591.0,584.0,2452.65,2020-05-21 11:50:02.230990
PR15,118.1,118.05,118.0,118.25,215943.39,2020-05-21 11:50:02.230990
PUL26,1529.68,1765.0,1765.0,1529.68,0.0,2020-05-21 11:50:02.230990
PUM21,1800.0,1800.0,1800.0,1800.0,0.0,2020-05-21 11:50:02.230990
PUO19,368.8,373.0,364.5,368.8,0.0,2020-05-21 11:50:02.230990
PUY23,834.11,0.0,0.0,834.11,0.0,2020-05-21 11:50:02.230990
RHC20,1330.0,0.0,0.0,1330.0,0.0,2020-05-21 11:50:02.230990
