GFGV78.0JU,2.8,4,106.75,2020-05-18 16:40:01.386595
GFGV81.0JU,2.95,215,106.75,2020-05-18 16:40:01.386595
GFGV84.0JU,4.0,46,106.75,2020-05-18 16:40:01.386595
GFGV87.0JU,4.5,69,106.75,2020-05-18 16:40:01.386595
GFGV90.0JU,5.35,154,106.75,2020-05-18 16:40:01.386595
GFGV93.0JU,6.78,56,106.75,2020-05-18 16:40:01.386595
GFGV96.0JU,7.49,26,106.75,2020-05-18 16:40:01.386595
GFGV99.0JU,9.0,154,106.75,2020-05-18 16:40:01.386595
GFGV102.JU,10.9,88,106.75,2020-05-18 16:40:01.386595
GFGV105.JU,12.1,41,106.75,2020-05-18 16:40:01.386595
GFGV108.JU,14.0,42,106.75,2020-05-18 16:40:01.386595
GFGV111.JU,16.0,15,106.75,2020-05-18 16:40:01.386595
GFGV114.JU,17.0,2,106.75,2020-05-18 16:40:01.386595
GFGV117.JU,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV120.JU,20.0,0,106.75,2020-05-18 16:40:01.386595
GFGV123.JU,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV126.JU,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV129.JU,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV132.JU,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV135.JU,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV140.JU,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV145.JU,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV160.JU,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV45.0AG,1.0,4,106.75,2020-05-18 16:40:01.386595
GFGV48.0AG,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV51.0AG,1.8,0,106.75,2020-05-18 16:40:01.386595
GFGV54.0AG,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV57.0AG,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV60.0AG,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV63.0AG,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV66.0AG,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV69.0AG,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV72.0AG,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV84.0AG,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV90.0AG,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV93.0AG,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV99.0AG,12.0,11,106.75,2020-05-18 16:40:01.386595
GFGV102.AG,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV105.AG,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV108.AG,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV111.AG,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV114.AG,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV120.AG,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV123.AG,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV126.AG,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV129.AG,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV132.AG,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV135.AG,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV140.AG,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV145.AG,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGV150.AG,0.0,0,106.75,2020-05-18 16:40:01.386595
GFGC45.0JU,62.0,14,107.0,2020-05-18 17:00:02.242600
GFGC48.0JU,34.85,0,107.0,2020-05-18 17:00:02.242600
GFGC51.0JU,54.0,0,107.0,2020-05-18 17:00:02.242600
GFGC54.0JU,53.0,5,107.0,2020-05-18 17:00:02.242600
GFGC57.0JU,18.5,0,107.0,2020-05-18 17:00:02.242600
GFGC60.0JU,48.9,16,107.0,2020-05-18 17:00:02.242600
GFGC63.0JU,42.0,0,107.0,2020-05-18 17:00:02.242600
GFGC66.0JU,42.0,10,107.0,2020-05-18 17:00:02.242600
GFGC69.0JU,40.9,20,107.0,2020-05-18 17:00:02.242600
GFGC72.0JU,37.5,15,107.0,2020-05-18 17:00:02.242600
GFGC75.0JU,35.5,43,107.0,2020-05-18 17:00:02.242600
GFGC78.0JU,33.0,26,107.0,2020-05-18 17:00:02.242600
GFGC81.0JU,30.0,33,107.0,2020-05-18 17:00:02.242600
GFGC84.0JU,27.5,36,107.0,2020-05-18 17:00:02.242600
GFGC87.0JU,25.4,47,107.0,2020-05-18 17:00:02.242600
GFGC90.0JU,24.0,321,107.0,2020-05-18 17:00:02.242600
GFGC93.0JU,20.32,21,107.0,2020-05-18 17:00:02.242600
GFGC96.0JU,20.0,96,107.0,2020-05-18 17:00:02.242600
GFGC99.0JU,18.2,239,107.0,2020-05-18 17:00:02.242600
GFGC102.JU,16.69,366,107.0,2020-05-18 17:00:02.242600
GFGC105.JU,15.2,270,107.0,2020-05-18 17:00:02.242600
GFGC108.JU,13.5,126,107.0,2020-05-18 17:00:02.242600
GFGC111.JU,12.2,896,107.0,2020-05-18 17:00:02.242600
GFGC114.JU,11.2,98,107.0,2020-05-18 17:00:02.242600
GFGC117.JU,9.95,70,107.0,2020-05-18 17:00:02.242600
GFGC120.JU,9.05,1221,107.0,2020-05-18 17:00:02.242600
